model_a,model_b,model_a_instance_count,model_b_instance_count,common_instance_count,overlap_over_smaller_set,jaccard
GLM-5,GPT-5.2-Codex,500,500,500,1.0,1.0
GLM-5,GPT-5.4,500,500,500,1.0,1.0
GLM-5,GPT-5.5,500,500,500,1.0,1.0
GLM-5,Gemini-3-Flash,500,500,500,1.0,1.0
GLM-5,Gemini-3-Pro,500,500,500,1.0,1.0
GLM-5,Gemini-3.1-Pro,500,500,500,1.0,1.0
GLM-5,Gemini-3.5-Flash,500,500,500,1.0,1.0
GLM-5,Kimi-K2-Thinking,500,500,500,1.0,1.0
GLM-5,Kimi-K2.5,500,500,500,1.0,1.0
GLM-5,Kimi-K2.6,500,500,500,1.0,1.0
GLM-5,MiniMax-M2.1,500,500,500,1.0,1.0
GLM-5,MiniMax-M2.5,500,500,500,1.0,1.0
GLM-5,MiniMax-M3,500,500,500,1.0,1.0
GLM-5,Minimax-2.7,500,500,500,1.0,1.0
GLM-5,Nemotron-3-Nano,500,500,500,1.0,1.0
GLM-5,Nemotron-3-Super,500,500,500,1.0,1.0
GLM-5,Qwen3-Coder-480B,500,500,500,1.0,1.0
GLM-5,Qwen3-Coder-Next,500,500,500,1.0,1.0
GLM-5,Qwen3.5-Flash,500,500,500,1.0,1.0
GLM-5,Qwen3.6-Plus,500,500,500,1.0,1.0
GLM-5,Trinity-Large-Thinking,500,500,500,1.0,1.0
GLM-5,claude-fable-5,500,500,500,1.0,1.0
GLM-5,claude-opus-4-5,500,500,500,1.0,1.0
GLM-5,claude-opus-4-6,500,500,500,1.0,1.0
GLM-5,claude-opus-4-7,500,500,500,1.0,1.0
GLM-5,claude-opus-4-8,500,500,500,1.0,1.0
GLM-5,claude-sonnet-4-5,500,500,500,1.0,1.0
GLM-5,claude-sonnet-4-6,500,500,500,1.0,1.0
GLM-5.1,GPT-5.2,500,500,500,1.0,1.0
GLM-5.1,GPT-5.2-Codex,500,500,500,1.0,1.0
GLM-5.1,GPT-5.4,500,500,500,1.0,1.0
GLM-5.1,GPT-5.5,500,500,500,1.0,1.0
GLM-5.1,Gemini-3-Flash,500,500,500,1.0,1.0
GLM-5.1,Gemini-3-Pro,500,500,500,1.0,1.0
GLM-5.1,Gemini-3.1-Pro,500,500,500,1.0,1.0
GLM-5.1,Gemini-3.5-Flash,500,500,500,1.0,1.0
GLM-5.1,Kimi-K2-Thinking,500,500,500,1.0,1.0
GLM-5.1,Kimi-K2.5,500,500,500,1.0,1.0
GLM-5.1,Kimi-K2.6,500,500,500,1.0,1.0
GLM-5.1,MiniMax-M2.1,500,500,500,1.0,1.0
GLM-5.1,MiniMax-M2.5,500,500,500,1.0,1.0
GLM-5.1,MiniMax-M3,500,500,500,1.0,1.0
GLM-5.1,Minimax-2.7,500,500,500,1.0,1.0
GLM-5.1,Nemotron-3-Nano,500,500,500,1.0,1.0
GLM-5.1,Nemotron-3-Super,500,500,500,1.0,1.0
GLM-5.1,Qwen3-Coder-480B,500,500,500,1.0,1.0
GLM-5.1,Qwen3-Coder-Next,500,500,500,1.0,1.0
GLM-5.1,Qwen3.5-Flash,500,500,500,1.0,1.0
GLM-5.1,Qwen3.6-Plus,500,500,500,1.0,1.0
GLM-5.1,Trinity-Large-Thinking,500,500,500,1.0,1.0
GLM-5.1,claude-fable-5,500,500,500,1.0,1.0
GLM-5.1,claude-opus-4-5,500,500,500,1.0,1.0
GLM-5.1,claude-opus-4-6,500,500,500,1.0,1.0
GLM-5.1,claude-opus-4-7,500,500,500,1.0,1.0
GLM-5.1,claude-opus-4-8,500,500,500,1.0,1.0
GLM-5.1,claude-sonnet-4-5,500,500,500,1.0,1.0
GLM-5.1,claude-sonnet-4-6,500,500,500,1.0,1.0
GPT-5.2,GPT-5.2-Codex,500,500,500,1.0,1.0
GPT-5.2,GPT-5.4,500,500,500,1.0,1.0
GPT-5.2,GPT-5.5,500,500,500,1.0,1.0
GPT-5.2,Gemini-3-Flash,500,500,500,1.0,1.0
GPT-5.2,Gemini-3-Pro,500,500,500,1.0,1.0
GPT-5.2,Gemini-3.1-Pro,500,500,500,1.0,1.0
GPT-5.2,Gemini-3.5-Flash,500,500,500,1.0,1.0
GPT-5.2,Kimi-K2-Thinking,500,500,500,1.0,1.0
GPT-5.2,Kimi-K2.5,500,500,500,1.0,1.0
GPT-5.2,Kimi-K2.6,500,500,500,1.0,1.0
GPT-5.2,MiniMax-M2.1,500,500,500,1.0,1.0
GPT-5.2,MiniMax-M2.5,500,500,500,1.0,1.0
GPT-5.2,MiniMax-M3,500,500,500,1.0,1.0
GPT-5.2,Minimax-2.7,500,500,500,1.0,1.0
GPT-5.2,Nemotron-3-Nano,500,500,500,1.0,1.0
GPT-5.2,Nemotron-3-Super,500,500,500,1.0,1.0
GPT-5.2,Qwen3-Coder-480B,500,500,500,1.0,1.0
GPT-5.2,Qwen3-Coder-Next,500,500,500,1.0,1.0
GPT-5.2,Qwen3.5-Flash,500,500,500,1.0,1.0
GPT-5.2,Qwen3.6-Plus,500,500,500,1.0,1.0
GPT-5.2,Trinity-Large-Thinking,500,500,500,1.0,1.0
GPT-5.2,claude-fable-5,500,500,500,1.0,1.0
GPT-5.2,claude-opus-4-5,500,500,500,1.0,1.0
GPT-5.2,claude-opus-4-6,500,500,500,1.0,1.0
GPT-5.2,claude-opus-4-7,500,500,500,1.0,1.0
GPT-5.2,claude-opus-4-8,500,500,500,1.0,1.0
GPT-5.2,claude-sonnet-4-5,500,500,500,1.0,1.0
GPT-5.2,claude-sonnet-4-6,500,500,500,1.0,1.0
GPT-5.2-Codex,GPT-5.4,500,500,500,1.0,1.0
GPT-5.2-Codex,GPT-5.5,500,500,500,1.0,1.0
GPT-5.2-Codex,Gemini-3-Flash,500,500,500,1.0,1.0
GPT-5.2-Codex,Gemini-3-Pro,500,500,500,1.0,1.0
GPT-5.2-Codex,Gemini-3.1-Pro,500,500,500,1.0,1.0
GPT-5.2-Codex,Gemini-3.5-Flash,500,500,500,1.0,1.0
GPT-5.2-Codex,Kimi-K2-Thinking,500,500,500,1.0,1.0
GPT-5.2-Codex,Kimi-K2.5,500,500,500,1.0,1.0
GPT-5.2-Codex,Kimi-K2.6,500,500,500,1.0,1.0
GPT-5.2-Codex,MiniMax-M2.1,500,500,500,1.0,1.0
GPT-5.2-Codex,MiniMax-M2.5,500,500,500,1.0,1.0
GPT-5.2-Codex,MiniMax-M3,500,500,500,1.0,1.0
GPT-5.2-Codex,Minimax-2.7,500,500,500,1.0,1.0
GPT-5.2-Codex,Nemotron-3-Nano,500,500,500,1.0,1.0
GPT-5.2-Codex,Nemotron-3-Super,500,500,500,1.0,1.0
GPT-5.2-Codex,Qwen3-Coder-480B,500,500,500,1.0,1.0
GPT-5.2-Codex,Qwen3-Coder-Next,500,500,500,1.0,1.0
GPT-5.2-Codex,Qwen3.5-Flash,500,500,500,1.0,1.0
GPT-5.2-Codex,Qwen3.6-Plus,500,500,500,1.0,1.0
GPT-5.2-Codex,Trinity-Large-Thinking,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-fable-5,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-opus-4-5,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-opus-4-6,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-opus-4-7,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-opus-4-8,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-sonnet-4-5,500,500,500,1.0,1.0
GPT-5.2-Codex,claude-sonnet-4-6,500,500,500,1.0,1.0
GPT-5.4,GPT-5.5,500,500,500,1.0,1.0
GPT-5.4,Gemini-3-Flash,500,500,500,1.0,1.0
GPT-5.4,Gemini-3-Pro,500,500,500,1.0,1.0
GPT-5.4,Gemini-3.1-Pro,500,500,500,1.0,1.0
GPT-5.4,Gemini-3.5-Flash,500,500,500,1.0,1.0
GPT-5.4,Kimi-K2-Thinking,500,500,500,1.0,1.0
GPT-5.4,Kimi-K2.5,500,500,500,1.0,1.0
GPT-5.4,Kimi-K2.6,500,500,500,1.0,1.0
GPT-5.4,MiniMax-M2.1,500,500,500,1.0,1.0
GPT-5.4,MiniMax-M2.5,500,500,500,1.0,1.0
GPT-5.4,MiniMax-M3,500,500,500,1.0,1.0
GPT-5.4,Minimax-2.7,500,500,500,1.0,1.0
GPT-5.4,Nemotron-3-Nano,500,500,500,1.0,1.0
GPT-5.4,Nemotron-3-Super,500,500,500,1.0,1.0
GPT-5.4,Qwen3-Coder-480B,500,500,500,1.0,1.0
GPT-5.4,Qwen3-Coder-Next,500,500,500,1.0,1.0
GPT-5.4,Qwen3.5-Flash,500,500,500,1.0,1.0
GPT-5.4,Qwen3.6-Plus,500,500,500,1.0,1.0
GPT-5.4,Trinity-Large-Thinking,500,500,500,1.0,1.0
GPT-5.4,claude-fable-5,500,500,500,1.0,1.0
GPT-5.4,claude-opus-4-5,500,500,500,1.0,1.0
GPT-5.4,claude-opus-4-6,500,500,500,1.0,1.0
GPT-5.4,claude-opus-4-7,500,500,500,1.0,1.0
GPT-5.4,claude-opus-4-8,500,500,500,1.0,1.0
GPT-5.4,claude-sonnet-4-5,500,500,500,1.0,1.0
GPT-5.4,claude-sonnet-4-6,500,500,500,1.0,1.0
GPT-5.5,Gemini-3-Flash,500,500,500,1.0,1.0
GPT-5.5,Gemini-3-Pro,500,500,500,1.0,1.0
GPT-5.5,Gemini-3.1-Pro,500,500,500,1.0,1.0
GPT-5.5,Gemini-3.5-Flash,500,500,500,1.0,1.0
GPT-5.5,Kimi-K2-Thinking,500,500,500,1.0,1.0
GPT-5.5,Kimi-K2.5,500,500,500,1.0,1.0
GPT-5.5,Kimi-K2.6,500,500,500,1.0,1.0
GPT-5.5,MiniMax-M2.1,500,500,500,1.0,1.0
GPT-5.5,MiniMax-M2.5,500,500,500,1.0,1.0
GPT-5.5,MiniMax-M3,500,500,500,1.0,1.0
GPT-5.5,Minimax-2.7,500,500,500,1.0,1.0
GPT-5.5,Nemotron-3-Nano,500,500,500,1.0,1.0
GPT-5.5,Nemotron-3-Super,500,500,500,1.0,1.0
GPT-5.5,Qwen3-Coder-480B,500,500,500,1.0,1.0
GPT-5.5,Qwen3-Coder-Next,500,500,500,1.0,1.0
GPT-5.5,Qwen3.5-Flash,500,500,500,1.0,1.0
GPT-5.5,Qwen3.6-Plus,500,500,500,1.0,1.0
GPT-5.5,Trinity-Large-Thinking,500,500,500,1.0,1.0
GPT-5.5,claude-fable-5,500,500,500,1.0,1.0
GPT-5.5,claude-opus-4-5,500,500,500,1.0,1.0
GPT-5.5,claude-opus-4-6,500,500,500,1.0,1.0
GPT-5.5,claude-opus-4-7,500,500,500,1.0,1.0
GPT-5.5,claude-opus-4-8,500,500,500,1.0,1.0
GPT-5.5,claude-sonnet-4-5,500,500,500,1.0,1.0
GPT-5.5,claude-sonnet-4-6,500,500,500,1.0,1.0
Gemini-3-Flash,Gemini-3-Pro,500,500,500,1.0,1.0
Gemini-3-Flash,Gemini-3.1-Pro,500,500,500,1.0,1.0
Gemini-3-Flash,Gemini-3.5-Flash,500,500,500,1.0,1.0
Gemini-3-Flash,Kimi-K2-Thinking,500,500,500,1.0,1.0
Gemini-3-Flash,Kimi-K2.5,500,500,500,1.0,1.0
Gemini-3-Flash,Kimi-K2.6,500,500,500,1.0,1.0
Gemini-3-Flash,MiniMax-M2.1,500,500,500,1.0,1.0
Gemini-3-Flash,MiniMax-M2.5,500,500,500,1.0,1.0
Gemini-3-Flash,MiniMax-M3,500,500,500,1.0,1.0
Gemini-3-Flash,Minimax-2.7,500,500,500,1.0,1.0
Gemini-3-Flash,Nemotron-3-Nano,500,500,500,1.0,1.0
Gemini-3-Flash,Nemotron-3-Super,500,500,500,1.0,1.0
Gemini-3-Flash,Qwen3-Coder-480B,500,500,500,1.0,1.0
Gemini-3-Flash,Qwen3-Coder-Next,500,500,500,1.0,1.0
Gemini-3-Flash,Qwen3.5-Flash,500,500,500,1.0,1.0
Gemini-3-Flash,Qwen3.6-Plus,500,500,500,1.0,1.0
Gemini-3-Flash,Trinity-Large-Thinking,500,500,500,1.0,1.0
Gemini-3-Flash,claude-fable-5,500,500,500,1.0,1.0
Gemini-3-Flash,claude-opus-4-5,500,500,500,1.0,1.0
Gemini-3-Flash,claude-opus-4-6,500,500,500,1.0,1.0
Gemini-3-Flash,claude-opus-4-7,500,500,500,1.0,1.0
Gemini-3-Flash,claude-opus-4-8,500,500,500,1.0,1.0
Gemini-3-Flash,claude-sonnet-4-5,500,500,500,1.0,1.0
Gemini-3-Flash,claude-sonnet-4-6,500,500,500,1.0,1.0
Gemini-3-Pro,Gemini-3.1-Pro,500,500,500,1.0,1.0
Gemini-3-Pro,Gemini-3.5-Flash,500,500,500,1.0,1.0
Gemini-3-Pro,Kimi-K2-Thinking,500,500,500,1.0,1.0
Gemini-3-Pro,Kimi-K2.5,500,500,500,1.0,1.0
Gemini-3-Pro,Kimi-K2.6,500,500,500,1.0,1.0
Gemini-3-Pro,MiniMax-M2.1,500,500,500,1.0,1.0
Gemini-3-Pro,MiniMax-M2.5,500,500,500,1.0,1.0
Gemini-3-Pro,MiniMax-M3,500,500,500,1.0,1.0
Gemini-3-Pro,Minimax-2.7,500,500,500,1.0,1.0
Gemini-3-Pro,Nemotron-3-Nano,500,500,500,1.0,1.0
Gemini-3-Pro,Nemotron-3-Super,500,500,500,1.0,1.0
Gemini-3-Pro,Qwen3-Coder-480B,500,500,500,1.0,1.0
Gemini-3-Pro,Qwen3-Coder-Next,500,500,500,1.0,1.0
Gemini-3-Pro,Qwen3.5-Flash,500,500,500,1.0,1.0
Gemini-3-Pro,Qwen3.6-Plus,500,500,500,1.0,1.0
Gemini-3-Pro,Trinity-Large-Thinking,500,500,500,1.0,1.0
Gemini-3-Pro,claude-fable-5,500,500,500,1.0,1.0
Gemini-3-Pro,claude-opus-4-5,500,500,500,1.0,1.0
Gemini-3-Pro,claude-opus-4-6,500,500,500,1.0,1.0
Gemini-3-Pro,claude-opus-4-7,500,500,500,1.0,1.0
Gemini-3-Pro,claude-opus-4-8,500,500,500,1.0,1.0
Gemini-3-Pro,claude-sonnet-4-5,500,500,500,1.0,1.0
Gemini-3-Pro,claude-sonnet-4-6,500,500,500,1.0,1.0
Gemini-3.1-Pro,Gemini-3.5-Flash,500,500,500,1.0,1.0
Gemini-3.1-Pro,Kimi-K2-Thinking,500,500,500,1.0,1.0
Gemini-3.1-Pro,Kimi-K2.5,500,500,500,1.0,1.0
Gemini-3.1-Pro,Kimi-K2.6,500,500,500,1.0,1.0
Gemini-3.1-Pro,MiniMax-M2.1,500,500,500,1.0,1.0
Gemini-3.1-Pro,MiniMax-M2.5,500,500,500,1.0,1.0
Gemini-3.1-Pro,MiniMax-M3,500,500,500,1.0,1.0
Gemini-3.1-Pro,Minimax-2.7,500,500,500,1.0,1.0
Gemini-3.1-Pro,Nemotron-3-Nano,500,500,500,1.0,1.0
Gemini-3.1-Pro,Nemotron-3-Super,500,500,500,1.0,1.0
Gemini-3.1-Pro,Qwen3-Coder-480B,500,500,500,1.0,1.0
Gemini-3.1-Pro,Qwen3-Coder-Next,500,500,500,1.0,1.0
Gemini-3.1-Pro,Qwen3.5-Flash,500,500,500,1.0,1.0
Gemini-3.1-Pro,Qwen3.6-Plus,500,500,500,1.0,1.0
Gemini-3.1-Pro,Trinity-Large-Thinking,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-fable-5,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-opus-4-5,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-opus-4-6,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-opus-4-7,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-opus-4-8,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-sonnet-4-5,500,500,500,1.0,1.0
Gemini-3.1-Pro,claude-sonnet-4-6,500,500,500,1.0,1.0
Gemini-3.5-Flash,Kimi-K2-Thinking,500,500,500,1.0,1.0
Gemini-3.5-Flash,Kimi-K2.5,500,500,500,1.0,1.0
Gemini-3.5-Flash,Kimi-K2.6,500,500,500,1.0,1.0
Gemini-3.5-Flash,MiniMax-M2.1,500,500,500,1.0,1.0
Gemini-3.5-Flash,MiniMax-M2.5,500,500,500,1.0,1.0
Gemini-3.5-Flash,MiniMax-M3,500,500,500,1.0,1.0
Gemini-3.5-Flash,Minimax-2.7,500,500,500,1.0,1.0
Gemini-3.5-Flash,Nemotron-3-Nano,500,500,500,1.0,1.0
Gemini-3.5-Flash,Nemotron-3-Super,500,500,500,1.0,1.0
Gemini-3.5-Flash,Qwen3-Coder-480B,500,500,500,1.0,1.0
Gemini-3.5-Flash,Qwen3-Coder-Next,500,500,500,1.0,1.0
Gemini-3.5-Flash,Qwen3.5-Flash,500,500,500,1.0,1.0
Gemini-3.5-Flash,Qwen3.6-Plus,500,500,500,1.0,1.0
Gemini-3.5-Flash,Trinity-Large-Thinking,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-fable-5,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-opus-4-5,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-opus-4-6,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-opus-4-7,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-opus-4-8,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-sonnet-4-5,500,500,500,1.0,1.0
Gemini-3.5-Flash,claude-sonnet-4-6,500,500,500,1.0,1.0
Kimi-K2-Thinking,Kimi-K2.5,500,500,500,1.0,1.0
Kimi-K2-Thinking,Kimi-K2.6,500,500,500,1.0,1.0
Kimi-K2-Thinking,MiniMax-M2.1,500,500,500,1.0,1.0
Kimi-K2-Thinking,MiniMax-M2.5,500,500,500,1.0,1.0
Kimi-K2-Thinking,MiniMax-M3,500,500,500,1.0,1.0
Kimi-K2-Thinking,Minimax-2.7,500,500,500,1.0,1.0
Kimi-K2-Thinking,Nemotron-3-Nano,500,500,500,1.0,1.0
Kimi-K2-Thinking,Nemotron-3-Super,500,500,500,1.0,1.0
Kimi-K2-Thinking,Qwen3-Coder-480B,500,500,500,1.0,1.0
Kimi-K2-Thinking,Qwen3-Coder-Next,500,500,500,1.0,1.0
Kimi-K2-Thinking,Qwen3.5-Flash,500,500,500,1.0,1.0
Kimi-K2-Thinking,Qwen3.6-Plus,500,500,500,1.0,1.0
Kimi-K2-Thinking,Trinity-Large-Thinking,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-fable-5,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-opus-4-5,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-opus-4-6,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-opus-4-7,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-opus-4-8,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-sonnet-4-5,500,500,500,1.0,1.0
Kimi-K2-Thinking,claude-sonnet-4-6,500,500,500,1.0,1.0
Kimi-K2.5,Kimi-K2.6,500,500,500,1.0,1.0
Kimi-K2.5,MiniMax-M2.1,500,500,500,1.0,1.0
Kimi-K2.5,MiniMax-M2.5,500,500,500,1.0,1.0
Kimi-K2.5,MiniMax-M3,500,500,500,1.0,1.0
Kimi-K2.5,Minimax-2.7,500,500,500,1.0,1.0
Kimi-K2.5,Nemotron-3-Nano,500,500,500,1.0,1.0
Kimi-K2.5,Nemotron-3-Super,500,500,500,1.0,1.0
Kimi-K2.5,Qwen3-Coder-480B,500,500,500,1.0,1.0
Kimi-K2.5,Qwen3-Coder-Next,500,500,500,1.0,1.0
Kimi-K2.5,Qwen3.5-Flash,500,500,500,1.0,1.0
Kimi-K2.5,Qwen3.6-Plus,500,500,500,1.0,1.0
Kimi-K2.5,Trinity-Large-Thinking,500,500,500,1.0,1.0
Kimi-K2.5,claude-fable-5,500,500,500,1.0,1.0
Kimi-K2.5,claude-opus-4-5,500,500,500,1.0,1.0
Kimi-K2.5,claude-opus-4-6,500,500,500,1.0,1.0
Kimi-K2.5,claude-opus-4-7,500,500,500,1.0,1.0
Kimi-K2.5,claude-opus-4-8,500,500,500,1.0,1.0
Kimi-K2.5,claude-sonnet-4-5,500,500,500,1.0,1.0
Kimi-K2.5,claude-sonnet-4-6,500,500,500,1.0,1.0
