language_model,difficulty_bin,total_question_count,valid_result_count,resolved_null_count,success_count,failure_count,success_rate,wilson_95_low,wilson_95_high,analysis_definition,representative_model
DeepSeek-V4-Pro,Hard,167,167,0,119,48,0.7125748502994012,0.6397644897808027,0.7758254992658121,null_as_not_success,True
Gemini-3-Flash,Easy,167,167,0,117,50,0.7005988023952096,0.62726301838929,0.7649134501476564,null_as_not_success,False
Gemini-3-Flash,Medium,166,166,0,133,33,0.8012048192771084,0.7339861174485321,0.854798274150297,null_as_not_success,False
Gemini-3-Flash,Hard,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
Gemini-3-Pro,Easy,167,167,0,110,57,0.6586826347305389,0.5839252387425599,0.726303908010547,null_as_not_success,False
Gemini-3-Pro,Medium,166,166,0,127,39,0.7650602409638554,0.6950233188671587,0.8231069457398109,null_as_not_success,False
Gemini-3-Pro,Hard,167,167,0,116,51,0.6946107784431138,0.6210327851040591,0.7594369231780533,null_as_not_success,False
Gemini-3.1-Pro,Easy,167,167,0,127,40,0.7604790419161677,0.6903565176086636,0.8188875534766252,null_as_not_success,False
Gemini-3.1-Pro,Medium,166,166,0,135,31,0.8132530120481928,0.7471319732559502,0.8652037940068321,null_as_not_success,False
Gemini-3.1-Pro,Hard,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
Gemini-3.5-Flash,Easy,167,167,0,131,36,0.7844311377245509,0.7160421646801927,0.8400289474244329,null_as_not_success,True
Gemini-3.5-Flash,Medium,166,166,0,132,34,0.7951807228915663,0.7274444190645216,0.8495642847023309,null_as_not_success,True
Gemini-3.5-Flash,Hard,167,167,0,130,37,0.7784431137724551,0.7095941259979625,0.8347702258518291,null_as_not_success,True
GLM-4.7,Easy,167,167,0,119,48,0.7125748502994012,0.6397644897808027,0.7758254992658121,null_as_not_success,False
GLM-4.7,Medium,166,166,0,128,38,0.7710843373493976,0.7014710488161878,0.8284349036227586,null_as_not_success,False
GLM-4.7,Hard,167,167,0,120,47,0.718562874251497,0.6460362098546697,0.7812605394467795,null_as_not_success,False
GLM-5,Easy,167,167,0,119,48,0.7125748502994012,0.6397644897808027,0.7758254992658121,null_as_not_success,False
GLM-5,Medium,166,166,0,129,37,0.7771084337349398,0.7079365128194199,0.8337451274515029,null_as_not_success,False
GLM-5,Hard,167,167,0,119,48,0.7125748502994012,0.6397644897808027,0.7758254992658121,null_as_not_success,False
GLM-5.1,Easy,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,True
GLM-5.1,Medium,166,166,0,131,35,0.7891566265060241,0.7209226507090565,0.8443103652258197,null_as_not_success,True
GLM-5.1,Hard,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,True
GPT-5.2,Easy,167,167,0,120,47,0.718562874251497,0.6460362098546697,0.7812605394467795,null_as_not_success,False
GPT-5.2,Medium,166,166,0,131,35,0.7891566265060241,0.7209226507090565,0.8443103652258197,null_as_not_success,False
GPT-5.2,Hard,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,False
GPT-5.2-Codex,Easy,167,167,0,118,49,0.7065868263473054,0.6335068419504756,0.7703763868413053,null_as_not_success,False
GPT-5.2-Codex,Medium,166,166,0,130,36,0.7831325301204819,0.7144202040765941,0.8390371240263053,null_as_not_success,False
GPT-5.2-Codex,Hard,167,167,0,121,46,0.7245508982035929,0.6523222650634787,0.7866812444928047,null_as_not_success,False
GPT-5.4,Easy,167,167,0,128,39,0.7664670658682635,0.6967517771643289,0.8241990541757941,null_as_not_success,False
GPT-5.4,Medium,166,166,0,132,34,0.7951807228915663,0.7274444190645216,0.8495642847023309,null_as_not_success,False
GPT-5.4,Hard,167,167,0,118,49,0.7065868263473054,0.6335068419504756,0.7703763868413053,null_as_not_success,False
GPT-5.5,Easy,167,167,0,132,35,0.7904191616766467,0.7225088016816523,0.8452690706778077,null_as_not_success,True
GPT-5.5,Medium,166,166,0,134,32,0.8072289156626506,0.7405484003517548,0.8600116790790511,null_as_not_success,True
GPT-5.5,Hard,167,167,0,125,42,0.7485029940119761,0.6776156776763093,0.8082148728993112,null_as_not_success,True
Kimi-K2-Thinking,Easy,167,166,1,116,51,0.6946107784431138,0.6210327851040591,0.7594369231780533,null_as_not_success,False
Kimi-K2-Thinking,Medium,166,166,0,123,43,0.7409638554216867,0.6694009420855891,0.8016265711934742,null_as_not_success,False
Kimi-K2-Thinking,Hard,167,166,1,107,60,0.6407185628742516,0.565539576271687,0.7095692897169172,null_as_not_success,False
Kimi-K2.5,Easy,167,167,0,110,57,0.6586826347305389,0.5839252387425599,0.726303908010547,null_as_not_success,False
Kimi-K2.5,Medium,166,165,1,122,44,0.7349397590361446,0.6630355179440995,0.7962163075029872,null_as_not_success,False
Kimi-K2.5,Hard,167,167,0,112,55,0.6706586826347305,0.596243518406001,0.7373991488567743,null_as_not_success,False
Kimi-K2.6,Easy,167,167,0,121,46,0.7245508982035929,0.6523222650634787,0.7866812444928047,null_as_not_success,True
Kimi-K2.6,Medium,166,166,0,130,36,0.7831325301204819,0.7144202040765941,0.8390371240263053,null_as_not_success,True
Kimi-K2.6,Hard,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,True
Minimax-2.7,Easy,167,167,0,121,46,0.7245508982035929,0.6523222650634787,0.7866812444928047,null_as_not_success,False
Minimax-2.7,Medium,166,166,0,129,37,0.7771084337349398,0.7079365128194199,0.8337451274515029,null_as_not_success,False
Minimax-2.7,Hard,167,167,0,128,39,0.7664670658682635,0.6967517771643289,0.8241990541757941,null_as_not_success,False
MiniMax-M2.1,Easy,167,167,0,110,57,0.6586826347305389,0.5839252387425599,0.726303908010547,null_as_not_success,False
MiniMax-M2.1,Medium,166,166,0,124,42,0.7469879518072289,0.6757820657121671,0.8070211353988728,null_as_not_success,False
MiniMax-M2.1,Hard,167,167,0,110,57,0.6586826347305389,0.5839252387425599,0.726303908010547,null_as_not_success,False
MiniMax-M2.5,Easy,167,167,0,120,47,0.718562874251497,0.6460362098546697,0.7812605394467795,null_as_not_success,False
MiniMax-M2.5,Medium,166,166,0,128,38,0.7710843373493976,0.7014710488161878,0.8284349036227586,null_as_not_success,False
MiniMax-M2.5,Hard,167,167,0,115,52,0.688622754491018,0.6148159212291527,0.7539470267981253,null_as_not_success,False
MiniMax-M3,Easy,167,167,0,125,42,0.7485029940119761,0.6776156776763093,0.8082148728993112,null_as_not_success,True
MiniMax-M3,Medium,166,166,0,131,35,0.7891566265060241,0.7209226507090565,0.8443103652258197,null_as_not_success,True
MiniMax-M3,Hard,167,167,0,126,41,0.7544910179640718,0.6839779520445968,0.8135593587858576,null_as_not_success,True
Nemotron-3-Nano,Easy,167,167,0,58,109,0.3473053892215569,0.2792622113997369,0.42221540210199043,null_as_not_success,False
Nemotron-3-Nano,Medium,166,166,0,61,105,0.3674698795180723,0.2978988691530832,0.44303599854343184,null_as_not_success,False
Nemotron-3-Nano,Hard,167,164,3,52,115,0.31137724550898205,0.2460529732018747,0.38518407877084726,null_as_not_success,False
Nemotron-3-Super,Easy,167,167,0,99,68,0.592814371257485,0.5170250616663058,0.6644297222836247,null_as_not_success,False
Nemotron-3-Super,Medium,166,166,0,111,55,0.6686746987951807,0.5939686810029591,0.7357505782923853,null_as_not_success,False
Nemotron-3-Super,Hard,167,167,0,100,67,0.5988023952095808,0.5230497337218329,0.6701118104829316,null_as_not_success,False
Qwen3-Coder-480B,Easy,167,167,0,101,66,0.6047904191616766,0.5290855498249711,0.6757827546346278,null_as_not_success,False
Qwen3-Coder-480B,Medium,166,166,0,112,54,0.6746987951807228,0.6001797805084458,0.741315166618875,null_as_not_success,False
Qwen3-Coder-480B,Hard,167,167,0,99,68,0.592814371257485,0.5170250616663058,0.6644297222836247,null_as_not_success,False
Qwen3-Coder-Next,Easy,167,167,0,108,59,0.6467065868263473,0.5716560900945236,0.7151595361489149,null_as_not_success,True
Qwen3-Coder-Next,Medium,166,166,0,115,51,0.6927710843373494,0.6188912914600057,0.7579307191632448,null_as_not_success,True
Qwen3-Coder-Next,Hard,167,167,0,110,57,0.6586826347305389,0.5839252387425599,0.726303908010547,null_as_not_success,True
Qwen3.5-Flash,Easy,167,167,0,102,65,0.6107784431137725,0.5351325933497507,0.6814424713646826,null_as_not_success,False
Qwen3.5-Flash,Medium,166,166,0,110,56,0.6626506024096386,0.5877703150319019,0.7301732564314659,null_as_not_success,False
Qwen3.5-Flash,Hard,167,167,0,98,69,0.5868263473053892,0.5110114561270996,0.6587365675679965,null_as_not_success,False
Qwen3.6-Plus,Easy,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,False
Qwen3.6-Plus,Medium,166,166,0,128,38,0.7710843373493976,0.7014710488161878,0.8284349036227586,null_as_not_success,False
Qwen3.6-Plus,Hard,167,167,0,121,46,0.7245508982035929,0.6523222650634787,0.7866812444928047,null_as_not_success,False
Trinity-Large-Thinking,Easy,167,167,0,92,75,0.5508982035928144,0.4751585710332637,0.6243488911328273,null_as_not_success,False
Trinity-Large-Thinking,Medium,166,166,0,103,63,0.6204819277108434,0.5447254865972648,0.690788270042267,null_as_not_success,False
Trinity-Large-Thinking,Hard,167,167,0,89,78,0.5329341317365269,0.4573768879845288,0.6070102934170594,null_as_not_success,False
